,Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,Div,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,True
0,SP1,2012-08-18,,Celta,Malaga,1703.33,1756.36,7.0,13.0,3.0,7.0,0.0,1.0,A,0.0,0.0,D,17.0,16.0,3.0,6.0,13.0,9.0,8.0,9.0,2.0,0.0,0.0,0.0,2.25,3.25,3.2,2.4,3.44,3.45,2.02,1.78,2.12,1.83,-0.3,1.96,1.91,SP1,18/08/12,0,1,A,0,0,D,17,16,3,6,13,9,8,9,2,0,0,0,2.25,3.25,3.2,2.25,3.4,3.25,2.4,3.2,2.7,2.31,3.38,3.43,2.25,3.3,3.2,2.3,3.3,3.4,2.35,3.45,3.29,both
1,SP1,2012-08-18,,Mallorca,Espanol,1749.45,1693.58,6.0,12.0,1.0,1.0,2.0,1.0,H,1.0,1.0,D,17.0,13.0,9.0,5.0,14.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.0,3.3,3.8,2.1,3.57,4.25,2.17,1.68,2.3,1.72,-0.5,1.98,1.9,SP1,18/08/12,2,1,H,1,1,D,17,13,9,5,14,14,7,4,3,2,0,0,2.0,3.3,3.8,2.0,3.3,4.1,2.1,3.2,3.2,2.0,3.56,4.17,2.05,3.25,3.8,2.0,3.5,4.1,2.25,3.33,3.63,both
2,SP1,2012-08-18,,Sevilla,Getafe,1752.75,1700.24,4.0,5.0,2.0,2.0,2.0,1.0,H,2.0,0.0,H,16.0,10.0,5.0,3.0,15.0,17.0,8.0,8.0,4.0,4.0,0.0,0.0,1.62,3.75,5.5,1.7,4.08,6.0,1.96,1.84,2.04,1.92,-0.8,1.82,2.05,SP1,18/08/12,2,1,H,2,0,H,16,10,5,3,15,17,8,8,4,4,0,0,1.62,3.75,5.5,1.6,3.75,5.5,1.7,3.5,4.4,1.65,3.94,6.15,1.7,3.75,4.8,1.67,3.8,6.0,1.68,3.96,5.73,both
3,SP1,2012-08-19,,Ath Bilbao,Betis,1766.53,1715.79,1.0,4.0,4.0,5.0,3.0,5.0,A,0.0,3.0,A,17.0,13.0,8.0,9.0,12.0,17.0,11.0,4.0,2.0,2.0,0.0,0.0,1.83,3.5,4.2,1.91,3.83,4.5,1.88,1.92,2.0,2.0,-0.8,2.12,1.76,SP1,19/08/12,3,5,A,0,3,A,17,13,8,9,12,17,11,4,2,2,0,0,1.83,3.5,4.2,1.85,3.5,4.1,1.8,3.4,4.0,1.89,3.77,4.41,1.91,3.5,4.0,1.87,3.7,4.33,2.17,3.49,3.65,both
4,SP1,2012-08-19,,Barcelona,Sociedad,2072.18,1699.71,7.0,10.0,4.0,8.0,5.0,1.0,H,4.0,1.0,H,18.0,5.0,10.0,2.0,9.0,12.0,9.0,1.0,2.0,3.0,0.0,0.0,1.1,9.0,26.0,1.12,13.0,34.0,1.3,3.36,1.33,3.65,-2.8,1.93,1.93,SP1,19/08/12,5,1,H,4,1,H,18,5,10,2,9,12,9,1,2,3,0,0,1.1,9.0,26.0,1.08,10.0,23.0,1.12,7.0,14.0,1.1,12.0,31.0,1.07,11.0,29.0,1.1,12.0,31.0,1.09,13.96,35.36,both
5,SP1,2012-08-19,,Levante,Ath Madrid,1732.93,1849.24,3.0,7.0,7.0,11.0,1.0,1.0,D,1.0,1.0,D,6.0,11.0,1.0,3.0,17.0,7.0,3.0,6.0,2.0,1.0,0.0,0.0,3.2,3.4,2.2,3.4,3.51,2.5,1.97,1.84,2.06,1.9,0.3,1.93,1.93,SP1,19/08/12,1,1,D,1,1,D,6,11,1,3,17,7,3,6,2,1,0,0,3.2,3.4,2.2,3.1,3.4,2.3,2.6,3.2,2.5,3.48,3.44,2.26,3.1,3.3,2.3,3.4,3.4,2.25,3.53,3.49,2.22,both
6,SP1,2012-08-19,,Real Madrid,Valencia,2089.41,1812.74,9.0,15.0,6.0,9.0,1.0,1.0,D,1.0,1.0,D,24.0,5.0,9.0,1.0,10.0,16.0,12.0,5.0,1.0,4.0,0.0,0.0,1.25,6.0,10.0,1.29,6.7,13.0,1.4,2.79,1.46,3.0,-1.8,1.93,1.93,SP1,19/08/12,1,1,D,1,1,D,24,5,9,1,10,16,12,5,1,4,0,0,1.25,6.0,10.0,1.26,5.75,9.75,1.25,5.0,10.0,1.27,6.52,12.44,1.25,5.5,10.0,1.25,6.5,12.0,1.27,6.58,12.24,both
7,SP1,2012-08-20,,La Coruna,Osasuna,1738.01,1742.15,9.0,12.0,6.0,8.0,2.0,0.0,H,0.0,0.0,D,10.0,11.0,3.0,1.0,14.0,13.0,5.0,7.0,3.0,4.0,0.0,0.0,2.0,3.4,3.75,2.2,3.55,4.12,2.12,1.71,2.26,1.75,-0.3,1.75,2.13,SP1,20/08/12,2,0,H,0,0,D,10,11,3,1,14,13,5,7,3,4,0,0,2.0,3.4,3.75,1.95,3.4,3.8,2.2,3.2,3.0,2.04,3.49,4.11,2.1,3.25,3.6,2.05,3.4,4.0,2.06,3.5,3.99,both
8,SP1,2012-08-20,,Vallecano,Granada,1658.28,1642.08,3.0,3.0,3.0,6.0,1.0,0.0,H,0.0,0.0,D,16.0,14.0,3.0,3.0,13.0,9.0,3.0,5.0,2.0,0.0,0.0,0.0,2.2,3.3,3.3,2.26,3.54,3.6,1.93,1.87,2.04,1.99,-0.3,1.92,1.94,SP1,20/08/12,1,0,H,0,0,D,16,14,3,3,13,9,3,5,2,0,0,0,2.2,3.3,3.3,2.15,3.3,3.3,2.1,3.2,3.2,2.31,3.42,3.39,2.15,3.3,3.4,2.3,3.4,3.4,2.47,3.4,3.1,both
9,SP1,2012-08-20,,Zaragoza,Valladolid,1707.08,1714.65,9.0,12.0,4.0,10.0,0.0,1.0,A,0.0,1.0,A,11.0,7.0,3.0,2.0,17.0,14.0,4.0,4.0,2.0,5.0,0.0,0.0,2.15,3.3,3.4,2.2,3.52,3.6,1.99,1.82,2.1,1.88,0.0,1.55,2.47,SP1,20/08/12,0,1,A,0,1,A,11,7,3,2,17,14,4,4,2,5,0,0,2.15,3.3,3.4,2.05,3.3,3.6,2.0,3.2,3.4,2.23,3.5,3.5,2.2,3.3,3.3,2.2,3.5,3.5,2.62,3.19,3.07,both
